"","SOURCE_TRACTID","NEIGHBOR_TRACTID"
"421","39009972600","39007000500"
"422","39009972600","39009973600"
"423","39009972600","39045030300"
"424","39009972600","39045030900"
"425","39009972600","39049007531"
"426","39009972600","39049007730"
"427","39009972700","39007000500"
"428","39009972700","39043041800"
"429","39009972700","39045030200"
"430","39009972700","39045030300"
"431","39009972700","39045031000"
"432","39009972800","39007000102"
"433","39009972800","39007000500"
"434","39009972800","39043041700"
"435","39009972800","39045030200"
"436","39009972800","39045030400"
"437","39009972800","39045030900"
"438","39009972800","39061007100"
"439","39009972900","39043041400"
"440","39009972900","39043041700"
"441","39009972900","39045030200"
"442","39009972900","39045030600"
"443","39009972900","39045030700"
"444","39009972900","39045031000"
"445","39009973000","39045030200"
"446","39009973000","39045030400"
"447","39009973000","39045030700"
"448","39009973000","39045031100"
"449","39009973101","39043041400"
"450","39009973101","39043041500"
"451","39009973101","39045030400"
"452","39009973101","39045030600"
"453","39009973101","39045031100"
"454","39009973101","39045031200"
"455","39009973200","39043041500"
"456","39009973200","39043041600"
"457","39009973200","39043041700"
"458","39009973200","39045030400"
"459","39009973200","39045030700"
"460","39009973300","39043041400"
"461","39009973300","39043041600"
"462","39009973300","39045030200"
"463","39009973300","39045030700"
"464","39009973300","39045031100"
"465","39009973300","39045031200"
"466","39009973400","39043041500"
"467","39009973400","39043041600"
"468","39009973400","39045030300"
"469","39009973400","39045030400"
"470","39009973400","39045030600"
"471","39009973400","39045030900"
"472","39009973400","39045031000"
"473","39009973400","39045031100"
"474","39009973500","39009973600"
"475","39009973500","39009973700"
"476","39009973500","39037540100"
"477","39009973500","39043041600"
"478","39009973500","39043041800"
"479","39009973500","39045030200"
"480","39009973500","39045030800"
"481","39009973500","39045030900"
"482","39009973600","39037540100"
"483","39009973600","39037555101"
"484","39009973600","39043041600"
"485","39009973600","39045030300"
"486","39009973600","39113980000"
"487","39009973700","39043041400"
"488","39009973700","39043041500"
"489","39009973700","39043041700"
"490","39009973700","39045030200"
"491","39009973700","39045030300"
"492","39009973700","39045030800"
"493","39009973700","39113165200"
"494","39009973700","39113980000"
"495","39009973800","39043041400"
"496","39009973800","39043041600"
"497","39009973800","39045030400"
"498","39009973800","39045031000"
"499","39009973800","39061007100"
"500","39009973800","39061007200"
"501","39009973800","39113165200"
"502","39009973800","39115969000"
"503","39009973901","39043041500"
"504","39009973901","39045030700"
"505","39009973901","39045031100"
"506","39009973902","39043041500"
"507","39009973902","39045030200"
"508","39009973902","39045030600"
"509","39009973902","39045030700"
