"","SOURCE_TRACTID","39175938500","NEIGHBOR_TRACTID"
"333","39007000703",0,"39035124202"
"334","39007000703",0,"39035137103"
"335","39007000704",0,"39023001000"
"336","39007000704",0,"39025040401"
"337","39007000704",0,"39035120200"
"338","39007000704",0,"39035124202"
"339","39007000704",0,"39035134206"
"340","39007000704",0,"39035137103"
"341","39007000704",0,"39045031600"
"342","39007000801",0,"39021011504"
"343","39007000801",0,"39035121401"
"344","39007000801",0,"39045032900"
"345","39007000802",0,"39021011504"
"346","39007000802",0,"39035121401"
"347","39007000802",0,"39035137103"
"348","39007000802",0,"39049000120"
"349","39007000802",0,"39049000720"
"350","39007000900",0,"39045032900"
"351","39007000900",0,"39049000120"
"352","39007000900",0,"39049000720"
"353","39007000900",0,"39139001700"
"354","39007000900",0,"39139001900"
"355","39007001001",0,"39035140500"
"356","39007001001",0,"39045031600"
"357","39007001001",0,"39049000720"
"358","39007001001",0,"39049002200"
"359","39007001001",0,"39049005420"
"360","39007001001",0,"39049006000"
"361","39007001002",0,"39021011504"
"362","39007001002",0,"39035137103"
"363","39007001002",0,"39045031600"
"364","39007001002",0,"39045032900"
"365","39007001002",0,"39049001300"
"366","39007001002",0,"39139001700"
"367","39007001101",0,"39035140500"
"368","39007001101",0,"39045030400"
"369","39007001101",0,"39045031600"
"370","39007001101",0,"39049001300"
"371","39007001102",0,"39023001000"
"372","39007001102",0,"39023003302"
"373","39007001102",0,"39035137103"
"374","39007001102",0,"39045030400"
"375","39007001102",0,"39049000720"
"376","39007001102",0,"39049001300"
"377","39007001102",0,"39049002200"
"378","39007001200",0,"39023002100"
"379","39007001200",0,"39023003302"
"380","39007001200",0,"39025040401"
"381","39007001200",0,"39035141500"
"382","39007001200",0,"39045030400"
"383","39007001200",0,"39045031600"
"384","39007001301",0,"39007000603"
"385","39007001301",0,"39009972900"
"386","39007001301",0,"39035140500"
"387","39007001301",0,"39045030400"
"388","39007001302",0,"39023001000"
"389","39007001302",0,"39045031600"
"390","39007001302",0,"39049002200"
"391","39007001302",0,"39049002780"
"392","39007001400",0,"39003012100"
"393","39007001400",0,"39007000300"
"394","39007001400",0,"39007000500"
"395","39007001400",0,"39007000603"
"396","39007001400",0,"39049001300"
"397","39007001400",0,"39049002000"
"398","39007001400",0,"39049002200"
"399","39007001400",0,"39049002780"
"400","39007001400",0,"39049005420"
"401","39009972600",0,"39007000200"
"402","39009972600",0,"39009973400"
"403","39009972600",0,"39043041800"
"404","39009972600",0,"39045030800"
"405","39009972600",0,"39049007520"
"406","39009972600",0,"39049007722"
"407","39009972700",0,"39007000200"
"408","39009972700",0,"39043041600"
"409","39009972700",0,"39043041700"
"410","39009972700",0,"39043041800"
"411","39009972700",0,"39045030900"
"412","39009972800",0,"39005971000"
"413","39009972800",0,"39007000200"
"414","39009972800",0,"39043041500"
"415","39009972800",0,"39043041700"
"416","39009972800",0,"39045030100"
"417","39009972800",0,"39045030800"
"418","39009972800",0,"39061006800"
"419","39009972900",0,"39043041200"
"420","39009972900",0,"39043041500"
"421","39009972900",0,"39043041700"
"422","39009972900",0,"39045030200"
"423","39009972900",0,"39045030600"
"424","39009972900",0,"39045030900"
"425","39009973000",0,"39043041700"
"426","39009973000",0,"39045030100"
"427","39009973000",0,"39045030600"
"428","39009973000",0,"39045031000"
"429","39009973101",0,"39043041200"
"430","39009973101",0,"39043041300"
"431","39009973101",0,"39045030100"
"432","39009973101",0,"39045030200"
"433","39009973101",0,"39045031000"
"434","39009973101",0,"39045031100"
"435","39009973200",0,"39043041300"
"436","39009973200",0,"39043041400"
"437","39009973200",0,"39043041500"
"438","39009973200",0,"39045030100"
"439","39009973200",0,"39045030600"
"440","39009973300",0,"39043041200"
"441","39009973300",0,"39043041400"
"442","39009973300",0,"39043041700"
"443","39009973300",0,"39045030600"
"444","39009973300",0,"39045031000"
"445","39009973300",0,"39045031100"
"446","39009973400",0,"39043041300"
"447","39009973400",0,"39043041400"
"448","39009973400",0,"39043041800"
"449","39009973400",0,"39045030100"
"450","39009973400",0,"39045030200"
"451","39009973400",0,"39045030800"
"452","39009973400",0,"39045030900"
"453","39009973400",0,"39045031000"
"454","39009973500",0,"39009973400"
"455","39009973500",0,"39009973500"
"456","39009973500",0,"39037520100"
"457","39009973500",0,"39043041400"
"458","39009973500",0,"39043041600"
"459","39009973500",0,"39043041700"
"460","39009973500",0,"39045030700"
"461","39009973500",0,"39045030800"
"462","39009973600",0,"39037520100"
"463","39009973600",0,"39037550100"
"464","39009973600",0,"39043041400"
"465","39009973600",0,"39043041800"
"466","39009973600",0,"39113165200"
"467","39009973700",0,"39043041200"
"468","39009973700",0,"39043041300"
"469","39009973700",0,"39043041500"
"470","39009973700",0,"39043041700"
"471","39009973700",0,"39043041800"
"472","39009973700",0,"39045030700"
"473","39009973700",0,"39113165100"
"474","39009973700",0,"39113165200"
"475","39009973800",0,"39043041200"
"476","39009973800",0,"39043041400"
"477","39009973800",0,"39045030100"
"478","39009973800",0,"39045030900"
"479","39009973800",0,"39061006800"
"480","39009973800",0,"39061006900"
"481","39009973800",0,"39113165100"
"482","39009973800",0,"39115968800"
"483","39009973901",0,"39043041300"
"484","39009973901",0,"39045030600"
"485","39009973901",0,"39045031000"
"486","39009973902",0,"39043041300"
"487","39009973902",0,"39043041700"
"488","39009973902",0,"39045030200"
"489","39009973902",0,"39045030600"
"490","39009973902",0,"39045031100"
"491","39011040100",0,"39035105100"
"492","39011040100",0,"39035108400"
"493","39011040100",0,"39049006950"
"494","39011040100",0,"39081000800"
"495","39011040100",0,"39081001200"
"496","39011040100",0,"39151711211"
"497","39011040100",0,"39151711411"
"498","39011040200",0,"39081000800"
"499","39011040200",0,"39081001300"
"500","39011040200",0,"39081001400"
"501","39011040200",0,"39081011000"
"502","39011040200",0,"39081011200"
"503","39011040200",0,"39151711411"
"504","39011040200",0,"39153506200"
"505","39011040200",0,"39153506500"
"506","39011040300",0,"39081000800"
"507","39011040300",0,"39081001200"
"508","39011040300",0,"39081001400"
"509","39011040400",0,"39081000800"
"510","39011040400",0,"39081001200"
"511","39011040400",0,"39081001300"
"512","39011040400",0,"39081011200"
"513","39011040500",0,"39081000800"
