"Congressional Session","District","District Perimeter","District Area","Compactness Polsby Popper","Compactness Schwartzberg","Compactness Reock"
"112","Congressional District 8",539159.262854841,5253643043.32342,0.227110013849121,0.476560608788768,0.418555624090331
"112","Congressional District 12",356138.17202317,2668163233.26465,0.264353587754265,0.514153272628178,0.402985270610707
"112","Congressional District 16",410426.405716423,4504090176.37842,0.336005473687421,0.579659791332313,0.337938552284874
"112","Congressional District 11",125106.099104605,348500453.497834,0.279805499514204,0.52896644460136,0.480453855318716
"112","Congressional District 10",159726.02414647,505612943.922359,0.249044344946059,0.499043429919741,0.237380925871437
"113","Congressional District 1",378840.987414051,1804244308.12116,0.157976063648482,0.397462027932836,0.259567744388805
"113","Congressional District 7",997334.125924003,10062141444.9636,0.127121474822328,0.35654098617456,0.402269584370239
"113","Congressional District 2",664030.157765136,8414219073.22604,0.239799388604019,0.489693157603839,0.339349958453267
"113","Congressional District 14",487386.426242295,5146650112.95453,0.272262387569378,0.521787684378788,0.390601418843306
"113","Congressional District 6",1264872.29896156,18869529586.8118,0.148210022916371,0.384980548750675,0.224470191900708
"113","Congressional District 3",365843.484607255,601164415.90476,0.0564433107624672,0.237578009846171,0.456722710177762
"113","Congressional District 10",307950.074470036,2938476110.94187,0.389377992294273,0.6240015963876,0.23892342932711
"113","Congressional District 4",1010483.16984951,12174371653.4669,0.149829817518288,0.387078567629736,0.225884959750706
"113","Congressional District 5",763893.266547835,14625343204.1634,0.314956493324386,0.561209847850504,0.477548008268043
"113","Congressional District 16",593014.699411729,3148902917.28048,0.112522200850342,0.335443290066058,0.32627950432578
"113","Congressional District 13",597212.211211605,2383198962.89191,0.0839678062441307,0.289771990095887,0.233673774898531
"113","Congressional District 15",1032781.95410598,12361598532.9431,0.14563548861619,0.38162218045626,0.273711922889549
"113","Congressional District 11",324785.348015654,638085986.013946,0.0760144597129313,0.275707199240302,0.234915140478912
"113","Congressional District 9",595373.767013014,1279717498.16809,0.0453674722318734,0.212996413659651,0.0427406102271538
"113","Congressional District 8",541846.105142741,6380484172.92109,0.273093641094303,0.522583621150054,0.347890982464341
"113","Congressional District 12",723623.136834607,5954482917.81059,0.14289894714158,0.378019770834252,0.270985729052069
