"Geography","fips_county","fips_tract","Population","White","Black","Asian","NHPI","AIAN","Two or More Races","Other","district"
"39017010910","017","010910",4780,4150,412,107,0,3,70,38,11
"39017010911","017","010911",4226,3827,212,81,12,4,58,32,11
"39017011002","017","011002",12210,10713,911,259,4,22,203,98,11
"39017011003","017","011003",6422,5682,438,174,1,6,82,39,11
"39017011004","017","011004",6001,4318,1005,161,8,11,183,315,11
"39017011109","017","011109",4389,3788,291,134,2,26,93,55,10
"39017011110","017","011110",5250,4904,127,97,3,11,89,19,10
"39017011111","017","011111",6730,6010,151,361,11,17,125,55,10
"39017011112","017","011112",5537,4650,491,270,1,8,96,21,11
"39017011116","017","011116",8529,7339,491,518,1,10,123,47,11
"39017011117","017","011117",11039,9640,596,396,3,31,200,173,11
"39017011118","017","011118",3014,2673,151,132,0,0,44,14,10
"39017011120","017","011120",7393,6357,633,155,1,2,189,56,11
"39017011121","017","011121",7593,6619,458,341,0,11,117,47,10
"39017011122","017","011122",5068,3340,724,844,4,7,116,33,11
"39017011123","017","011123",5075,2746,1309,188,35,30,177,590,11
"39017011125","017","011125",3623,3057,124,312,0,9,79,42,10
"39017011126","017","011126",4811,3395,529,447,22,8,134,276,11
"39017011127","017","011127",4600,3862,307,296,0,4,87,44,11
"39017011128","017","011128",3138,2558,250,254,1,4,59,12,11
"39017011129","017","011129",4246,3556,368,191,2,11,70,48,11
"39017011130","017","011130",5167,4330,216,189,65,10,91,266,10
"39017011131","017","011131",3122,2883,91,101,7,2,35,3,10
"39017011200","017","011200",7802,7275,245,104,0,16,107,55,10
"39017011300","017","011300",5044,4513,216,88,1,10,58,158,11
"39017011800","017","011800",5845,5703,29,22,1,11,70,9,12
"39017012100","017","012100",3245,3179,15,7,3,4,34,3,12
"39017012200","017","012200",3226,2942,144,8,0,7,103,22,12
"39017012300","017","012300",2028,1917,73,1,1,1,29,6,12
"39017012400","017","012400",2322,2216,66,14,1,0,23,2,12
"39017012500","017","012500",4812,4320,351,49,0,2,65,25,10
"39017012600","017","012600",2467,2286,109,18,2,2,40,10,12
"39017012700","017","012700",2983,2764,120,5,2,11,71,10,12
"39017013000","017","013000",1715,759,827,12,0,11,59,47,12
"39017013100","017","013100",2105,906,965,10,0,3,148,73,11
"39017013200","017","013200",3327,2811,347,3,0,10,111,45,11
"39017013300","017","013300",2134,2019,60,8,0,2,30,15,10
"39017013400","017","013400",2180,1916,167,17,1,1,47,31,10
"39017013500","017","013500",2876,2585,107,8,0,9,47,120,10
"39017013600","017","013600",5064,3936,744,26,7,11,169,171,10
"39017013900","017","013900",2832,2737,12,5,2,5,48,23,11
"39017014000","017","014000",2687,1590,853,7,3,8,130,96,11
"39017014100","017","014100",2276,1893,251,5,4,10,87,26,11
"39017014300","017","014300",4574,4475,31,13,0,4,45,6,12
"39017014400","017","014400",1882,1559,225,2,0,10,70,16,12
"39017014600","017","014600",1037,823,125,7,0,2,31,49,11
"39017014700","017","014700",4202,3834,165,12,2,8,116,65,11
"39017014800","017","014800",6773,6405,159,42,2,20,131,14,12
"39017014900","017","014900",4941,4763,73,23,0,2,68,12,11
"39017015000","017","015000",7629,7442,56,25,5,16,75,10,12
"39017015100","017","015100",6818,6495,92,35,1,7,160,28,11
"39019720100","019","720100",3517,3439,20,8,0,4,44,2,3
"39019720200","019","720200",3626,3527,14,6,0,16,52,11,3
"39019720300","019","720300",5274,5095,68,12,0,22,58,19,3
"39019720400","019","720400",4318,4238,11,4,0,18,43,4,3
