Geography,dist1,dist2,distfrom
39035175104,24,8,-16
39035175105,24,8,-16
39035175106,25,9,-16
39035175201,23,7,-16
39035175202,23,7,-16
39035176100,21,5,-16
39035176200,20,4,-16
39035177101,24,9,-15
39035177103,25,10,-15
39035177104,26,11,-15
39035177201,26,12,-14
39035177202,26,12,-14
39035177302,26,11,-15
39035177303,25,11,-14
39035177304,25,11,-14
39035177403,26,11,-15
39035177404,27,11,-16
39035177405,27,12,-15
39035177406,27,12,-15
39035177501,26,11,-15
39035177503,26,10,-16
39035177504,26,10,-16
39035177505,25,9,-16
39035177604,25,9,-16
39035177605,25,9,-16
39035177606,26,10,-16
39035177607,25,9,-16
39035177608,27,11,-16
39035177609,26,10,-16
39035178101,25,9,-16
39035178102,25,10,-15
39035178201,26,11,-15
39035178204,26,10,-16
39035178205,26,10,-16
39035178206,25,9,-16
39035179101,27,13,-14
39035179102,27,13,-14
39035180102,24,10,-14
39035180103,24,10,-14
39035180104,24,10,-14
39035181100,20,6,-14
39035181201,21,7,-14
39035181203,21,7,-14
39035181204,22,8,-14
39035182103,25,11,-14
39035182104,25,11,-14
39035182105,26,10,-16
39035182106,25,9,-16
39035183100,26,12,-14
39035183200,27,13,-14
39035183300,27,13,-14
39035183401,27,13,-14
39035183402,28,14,-14
39035183501,28,14,-14
39035183502,28,14,-14
39035183603,29,15,-14
39035183604,29,15,-14
39035183605,29,15,-14
39035183606,29,15,-14
39035184103,27,13,-14
39035184104,27,12,-15
39035184105,27,12,-15
39035184106,28,13,-15
39035184108,28,13,-15
39035185101,24,10,-14
39035185102,25,11,-14
39035185103,25,11,-14
39035185104,24,10,-14
39035185201,27,13,-14
39035185202,26,12,-14
39035185203,25,11,-14
39035186103,21,5,-16
39035186104,22,6,-16
39035186105,21,5,-16
39035186106,22,6,-16
39035186107,23,7,-16
39035186201,23,7,-16
39035186202,22,6,-16
39035186203,23,7,-16
39035186205,22,6,-16
39035186206,21,5,-16
39035187103,27,13,-14
39035187104,27,13,-14
39035187105,26,12,-14
39035187106,26,12,-14
39035188103,29,15,-14
39035188104,29,14,-15
39035188105,29,14,-15
39035188106,29,14,-15
39035188107,28,13,-15
39035189105,21,7,-14
39035189107,22,6,-16
39035189108,21,5,-16
39035189109,22,6,-16
39035189110,21,7,-14
39035189111,21,6,-15
39035189112,23,7,-16
39035190502,21,5,-16
39035190503,21,5,-16
39035190504,20,4,-16
39035192300,24,10,-14
39035192800,20,6,-14
39035192900,24,10,-14
39035193800,29,14,-15
39035193900,28,14,-14
39035194100,25,11,-14
39035194300,24,10,-14
39035194500,25,11,-14
39035194800,28,14,-14
39035194900,27,13,-14
39035195600,27,12,-15
39035195700,26,11,-15
39035195800,27,13,-14
39035195900,26,12,-14
39035196000,25,11,-14
39035196100,23,9,-14
39035196200,23,9,-14
39035196300,26,12,-14
39035196400,24,9,-15
39035196500,24,10,-14
39035980100,22,8,-14
39035980500,23,7,-16
39035981100,23,7,-16
39035990000,19,5,-14
39037500100,8,14,6
39037510100,9,15,6
39037520100,9,15,6
39037530100,8,14,6
39037540100,9,15,6
39037550100,10,16,6
39037555000,11,17,6
39037555101,10,17,7
39037555102,10,17,7
39037560100,10,16,6
39037570101,9,16,7
39037570102,9,16,7
39039958100,14,11,-3
39039958200,14,12,-2
39039958300,13,13,0
39039958400,13,12,-1
