"Geography","Population","district"
"39035102200",2750,12
"39035102300",2283,12
"39035102401",2114,12
"39035102402",3250,12
"39035102700",4553,12
"39035102800",2048,12
"39035102900",1961,12
"39035103100",1054,12
"39035103300",2222,12
"39035103400",2770,12
"39035103500",1981,12
"39035103602",3254,9
"39035103800",1993,12
"39035103900",2042,12
"39035104100",1095,12
"39035104200",1143,12
"39035104300",1603,12
"39035104400",1498,12
"39035104600",1190,12
"39035104800",2124,12
"39035104900",2493,12
"39035105100",3790,12
"39035105300",3434,12
"39035105400",3646,12
"39035105500",1854,12
"39035105602",2163,12
"39035105700",4165,12
"39035105900",2968,12
"39035106100",3503,12
"39035106200",3663,12
"39035106300",2764,12
"39035106400",1115,12
"39035106500",2520,12
"39035106600",3222,12
"39035106800",2942,12
"39035106900",3501,12
"39035107000",1646,12
"39035107101",4193,9
"39035107701",1944,12
"39035107802",3334,12
"39035108201",1354,9
"39035108301",1647,12
"39035108400",1237,12
"39035108701",4393,12
"39035109301",1873,12
"39035109701",2212,12
"39035109801",1884,12
"39035110501",851,12
"39035110801",1323,12
"39035110901",3102,12
"39035111202",1444,9
"39035111401",1253,12
"39035111500",1179,12
"39035111600",1130,12
"39035111700",1404,12
"39035111800",878,12
"39035111902",841,12
"39035112100",1762,12
"39035112200",1341,12
"39035112301",1427,12
"39035112400",1189,12
"39035112500",1274,12
"39035112600",1048,12
"39035112800",1015,12
"39035113101",956,9
"39035113500",1221,9
"39035113600",1107,9
"39035113801",2009,12
"39035114100",1121,9
"39035114300",1927,9
"39035114501",1369,9
"39035114600",1284,9
"39035114700",240,12
"39035114900",2199,9
"39035115100",1331,12
"39035115200",950,12
"39035115300",937,9
"39035115400",2275,12
"39035115700",1416,9
"39035115800",3226,9
"39035115900",3671,9
"39035116100",954,12
"39035116200",1146,12
"39035116300",1695,12
"39035116400",2990,12
"39035116500",2593,12
"39035116600",2629,12
"39035116700",1708,12
"39035116800",2808,12
"39035116900",1593,12
"39035117101",2416,9
"39035117102",1213,12
"39035117201",3352,9
"39035117202",1837,12
"39035117300",2580,12
"39035117400",1546,12
"39035117500",2761,12
"39035117600",3044,9
"39035117700",4899,9
"39035117800",2069,9
"39035117900",2541,9
"39035118101",2086,12
"39035118200",2101,12
"39035118301",2486,12
"39035118400",1772,12
"39035118500",994,12
"39035118602",2024,12
"39035118700",3679,9
"39035118800",3081,9
"39035118900",1385,12
"39035119100",127,9
"39035119202",1019,9
"39035119300",3572,9
"39035119401",2133,9
"39035119402",1776,9
"39035119501",2536,9
"39035119502",1772,9
"39035119600",2721,9
"39035119701",2026,9
"39035119702",2227,9
"39035119800",3407,9
"39035119900",2267,9
"39035120200",2296,9
"39035120400",2444,9
"39035120500",2382,9
"39035120600",2892,9
"39035120701",1649,9
"39035120702",2031,9
"39035120801",2292,9
"39035120802",2200,9
"39035121100",2285,9
"39035121200",1764,9
"39035121300",2276,9
"39035121401",1742,9
"39035121403",2833,9
"39035121500",2957,9
"39035121700",3767,9
"39035121800",1696,9
"39035121900",1408,9
"39035122100",3208,9
"39035122200",1832,9
"39035122300",1909,9
"39035123100",2473,12
"39035123200",2987,12
"39035123400",3665,12
"39035123501",3482,12
"39035123502",2443,12
"39035123601",2902,12
"39035123602",3002,12
"39035123603",3212,12
"39035123700",2452,12
"39035123800",2490,12
"39035123900",3036,12
"39035124100",4934,12
"39035124201",2598,12
"39035124202",1679,12
"39035124300",4038,12
"39035124500",3456,12
"39035124600",3970,12
"39035126100",2992,9
"39035127501",3164,9
"39035130103",4526,9
"39035130104",4184,9
"39035130105",3507,9
"39035130106",3434,9
"39035131102",3323,9
"39035131103",4328,9
"39035131104",4302,9
"39035132100",4876,2
"39035132200",2980,1
"39035132301",3287,2
"39035132302",1931,2
"39035133103",3288,1
"39035133104",2676,1
"39035134100",1580,12
"39035134203",3062,12
"39035134204",4381,12
"39035134205",2704,2
"39035134206",2962,2
"39035134300",4404,12
"39035135103",2220,2
"39035135104",4102,2
"39035135105",5915,2
"39035135106",1419,2
"39035136101",6130,2
"39035136102",7407,2
"39035136103",5863,2
"39035137101",2485,12
"39035137102",4455,12
"39035137103",4229,12
"39035138105",1332,12
"39035138106",3363,12
"39035138107",2071,12
"39035138108",3994,12
"39035138109",4216,12
"39035138110",4236,12
"39035140100",1538,9
"39035140301",2279,9
"39035140302",2357,9
"39035140400",3017,9
"39035140500",3309,9
"39035140600",1247,9
"39035140701",2630,9
"39035140702",1796,9
"39035140800",3586,9
"39035140900",1916,9
"39035141000",1295,9
"39035141100",4406,9
"39035141200",3159,9
"39035141300",2661,9
"39035141400",2730,9
"39035141500",1700,9
"39035141601",1718,9
"39035141602",1574,9
"39035141700",1522,9
"39035150100",2522,12
"39035150300",1646,9
"39035150400",1639,9
"39035151100",1154,12
"39035151200",1609,9
"39035151300",2138,9
"39035151400",1270,9
"39035151500",1287,9
"39035151600",1401,9
"39035151700",1388,9
"39035151800",1789,9
"39035152101",2452,9
"39035152102",4791,9
"39035152201",3334,9
"39035152202",4326,9
"39035152301",2718,9
"39035152302",4238,9
"39035152303",3746,9
"39035152400",1969,9
"39035152501",3613,9
"39035152502",2570,9
"39035152603",1065,9
"39035152604",4392,9
"39035152701",2257,9
"39035152702",2480,9
"39035152703",1691,9
"39035153103",2533,12
"39035153104",3133,12
"39035153105",3841,12
"39035153106",3705,12
"39035153107",3614,12
"39035154100",2179,9
"39035154200",1521,9
"39035154300",1085,9
"39035154400",2861,9
"39035154501",3656,9
"39035154502",3120,9
"39035154601",4688,9
"39035154603",3103,9
"39035154604",4049,2
"39035154700",2587,9
"39035155101",5261,9
"39035155102",3084,9
"39035156101",1402,9
"39035156102",5731,2
"39035160100",1966,9
"39035160200",2317,12
"39035160300",2023,9
"39035160400",3397,9
"39035160500",3762,9
"39035160601",4966,9
"39035160602",2942,12
"39035160700",1626,12
"39035160800",979,12
"39035160900",3662,12
"39035161000",1816,12
"39035161100",3763,12
"39035161200",3004,12
"39035161300",2976,12
"39035161400",3505,12
"39035161500",3982,12
"39035161600",2131,12
"39035161700",2166,12
"39035161800",1148,12
"39035170101",2884,9
"39035170102",4958,9
"39035170201",2261,9
"39035170202",3898,9
"39035171102",5055,2
"39035171103",3819,9
"39035171104",4578,1
"39035171203",2625,2
"39035171204",2053,2
"39035171205",2530,2
"39035171206",2478,2
"39035172101",2625,9
"39035172102",3782,9
"39035172103",4914,9
"39035172201",3719,9
"39035172202",4115,9
"39035173103",2780,12
"39035173104",4681,12
"39035173105",2436,2
"39035173106",3540,2
"39035173107",2509,2
"39035174103",3036,12
"39035174104",2511,12
"39035174105",3025,12
"39035174106",3205,12
"39035174107",3809,12
"39035174203",2994,12
"39035174204",3767,12
"39035174205",4542,12
"39035174206",2407,12
"39035174207",3422,12
"39035175103",6705,2
"39035175104",6034,2
"39035175105",4757,2
"39035175106",3173,2
"39035175201",6562,2
"39035175202",3213,2
"39035176100",2216,12
"39035176200",5759,2
"39035177101",4203,12
"39035177103",4092,12
"39035177104",3680,12
"39035177201",3908,12
"39035177202",3362,12
"39035177302",2582,12
"39035177303",4988,12
"39035177304",3601,12
"39035177403",3132,12
"39035177404",2875,12
"39035177405",4563,12
"39035177406",4056,12
"39035177501",4226,12
"39035177503",3617,2
"39035177504",4045,2
"39035177505",4649,2
"39035177604",2095,2
"39035177605",2716,2
"39035177606",3804,2
"39035177607",3747,2
"39035177608",5552,2
"39035177609",2108,2
"39035178101",2977,12
"39035178102",4323,12
"39035178201",3545,12
"39035178204",4644,12
"39035178205",2272,12
