"Geography","Population","district"
"39035121300",2276,1
"39035121401",1742,7
"39035121403",2833,7
"39035121500",2957,7
"39035121700",3767,7
"39035121800",1696,7
"39035121900",1408,7
"39035122100",3208,7
"39035122200",1832,7
"39035122300",1909,7
"39035123100",2473,5
"39035123200",2987,5
"39035123400",3665,1
"39035123501",3482,5
"39035123502",2443,1
"39035123601",2902,1
"39035123602",3002,1
"39035123603",3212,1
"39035123700",2452,1
"39035123800",2490,1
"39035123900",3036,1
"39035124100",4934,1
"39035124201",2598,1
"39035124202",1679,1
"39035124300",4038,1
"39035124500",3456,1
"39035124600",3970,1
"39035126100",2992,5
"39035127501",3164,1
"39035130103",4526,5
"39035130104",4184,5
"39035130105",3507,5
"39035130106",3434,5
"39035131102",3323,7
"39035131103",4328,7
"39035131104",4302,7
"39035132100",4876,7
"39035132200",2980,7
"39035132301",3287,7
"39035132302",1931,7
"39035133103",3288,7
"39035133104",2676,7
"39035134100",1580,1
"39035134203",3062,1
"39035134204",4381,1
"39035134205",2704,1
"39035134206",2962,1
"39035134300",4404,1
"39035135103",2220,1
"39035135104",4102,1
"39035135105",5915,1
"39035135106",1419,1
"39035136101",6130,1
"39035136102",7407,1
"39035136103",5863,1
"39035137101",2485,1
"39035137102",4455,1
"39035137103",4229,1
"39035138105",1332,1
"39035138106",3363,1
"39035138107",2071,1
"39035138108",3994,1
"39035138109",4216,1
"39035138110",4236,1
"39035140100",1538,5
"39035140301",2279,5
"39035140302",2357,5
"39035140400",3017,5
"39035140500",3309,5
"39035140600",1247,5
"39035140701",2630,5
"39035140702",1796,7
"39035140800",3586,7
"39035140900",1916,7
"39035141000",1295,5
"39035141100",4406,5
"39035141200",3159,5
"39035141300",2661,7
"39035141400",2730,7
"39035141500",1700,7
"39035141601",1718,7
"39035141602",1574,7
"39035141700",1522,7
"39035150100",2522,5
"39035150300",1646,5
"39035150400",1639,5
"39035151100",1154,5
"39035151200",1609,5
"39035151300",2138,5
"39035151400",1270,5
"39035151500",1287,5
"39035151600",1401,5
"39035151700",1388,5
"39035151800",1789,5
"39035152101",2452,5
"39035152102",4791,5
"39035152201",3334,5
"39035152202",4326,5
"39035152301",2718,5
"39035152302",4238,5
"39035152303",3746,5
"39035152400",1969,5
"39035152501",3613,5
"39035152502",2570,5
"39035152603",1065,5
"39035152604",4392,5
"39035152701",2257,5
"39035152702",2480,5
"39035152703",1691,5
"39035153103",2533,1
"39035153104",3133,1
"39035153105",3841,1
"39035153106",3705,1
"39035153107",3614,1
"39035154100",2179,1
"39035154200",1521,1
"39035154300",1085,7
"39035154400",2861,1
"39035154501",3656,1
"39035154502",3120,7
"39035154601",4688,7
"39035154603",3103,7
"39035154604",4049,7
"39035154700",2587,7
"39035155101",5261,6
"39035155102",3084,6
"39035156101",1402,1
"39035156102",5731,1
"39035160100",1966,5
"39035160200",2317,5
"39035160300",2023,5
"39035160400",3397,5
"39035160500",3762,5
"39035160601",4966,5
"39035160602",2942,5
"39035160700",1626,5
"39035160800",979,5
"39035160900",3662,5
"39035161000",1816,5
"39035161100",3763,5
"39035161200",3004,5
"39035161300",2976,5
"39035161400",3505,5
"39035161500",3982,5
"39035161600",2131,5
"39035161700",2166,5
"39035161800",1148,5
"39035170101",2884,6
"39035170102",4958,6
"39035170201",2261,7
"39035170202",3898,7
"39035171102",5055,7
"39035171103",3819,7
"39035171104",4578,7
"39035171203",2625,7
"39035171204",2053,7
"39035171205",2530,7
"39035171206",2478,7
"39035172101",2625,6
"39035172102",3782,6
"39035172103",4914,7
"39035172201",3719,7
"39035172202",4115,7
"39035173103",2780,1
"39035173104",4681,1
"39035173105",2436,1
"39035173106",3540,1
"39035173107",2509,1
"39035174103",3036,3
"39035174104",2511,3
"39035174105",3025,3
"39035174106",3205,3
"39035174107",3809,3
"39035174203",2994,3
"39035174204",3767,3
"39035174205",4542,3
"39035174206",2407,3
"39035174207",3422,1
"39035175103",6705,1
"39035175104",6034,1
"39035175105",4757,1
"39035175106",3173,1
"39035175201",6562,1
"39035175202",3213,1
"39035176100",2216,3
"39035176200",5759,1
"39035177101",4203,1
"39035177103",4092,1
"39035177104",3680,1
"39035177201",3908,1
"39035177202",3362,1
"39035177302",2582,1
"39035177303",4988,1
"39035177304",3601,1
"39035177403",3132,1
"39035177404",2875,1
"39035177405",4563,1
"39035177406",4056,1
"39035177501",4226,1
"39035177503",3617,1
"39035177504",4045,1
"39035177505",4649,1
"39035177604",2095,1
"39035177605",2716,1
"39035177606",3804,1
"39035177607",3747,1
"39035177608",5552,1
"39035177609",2108,1
"39035178101",2977,1
"39035178102",4323,1
"39035178201",3545,1
"39035178204",4644,1
"39035178205",2272,1
"39035178206",2957,1
"39035179101",3105,7
"39035179102",2874,7
